0,1,2,3,4,5,6,7,8
25,Sharda Cropchem Ltd.,1.38,1.20,1.02,-,-,0,dolly-khanna
26,Chennai Petroleum Corporation Ltd.,-,3.27,2.57,2.20,2.12,95.89,dolly-khanna
27,Manali Petrochemicals Ltd.,-,1.09,1.06,-,-,0,dolly-khanna
28,National Oxygen Ltd.,-,1.08,1.08,1.19,1.19,0.48,dolly-khanna
29,Pondy Oxides & Chemicals Ltd.,-,3.91,3.37,3.12,3.10,13.25,dolly-khanna
30,Suryoday Small Finance Bank Ltd.,-,1.16,-,-,-,0,dolly-khanna
31,Zuari Industries Ltd.,-,1.17,1.19,-,-,0,dolly-khanna
32,J Kumar Infraprojects Ltd.,-,-,1.08,-,-,0,dolly-khanna
33,Som Distilleries Breweries & Wineries Ltd.,-,-,-,-,1.29,16.73,dolly-khanna
1,Bhilwara Technical Textiles Ltd.,4.97,4.97,-,5.06,-,0,globe-capital-market-ltd
2,DIC India Ltd.,1.11,1.11,-,1.11,1.10,4.25,globe-capital-market-ltd
3,Evexia Lifecare Ltd.,-,-,-,-,-,0,globe-capital-market-ltd
4,Nexus Surgical And Medicare Ltd.,2.38,2.38,2.38,2.38,2.38,0.12,globe-capital-market-ltd
5,Perfect-Octave Media Projects Ltd.,1.13,1.13,1.13,1.13,1.13,0.08,globe-capital-market-ltd
6,Ramchandra Leasing & Finance Ltd.,1.09,1.09,1.09,-,1.09,0.05,globe-capital-market-ltd
7,Shree Rama Newsprint Ltd.,1.63,1.62,1.57,1.56,1.56,2.93,globe-capital-market-ltd
8,KBC Global Ltd.,-,-,-,-,-,0,globe-capital-market-ltd
9,Indo-National Ltd.,1.10,1.10,-,1.09,1.09,2.67,globe-capital-market-ltd
10,Markolines Pavement Technologies Ltd.,0.02,-,-,-,Filing Due,,globe-capital-market-ltd
11,RDB Realty & Infrastructure Ltd.,2.03,-,-,-,-,0,globe-capital-market-ltd
12,Shashijit Infraprojects Ltd.,1.07,-,-,-,-,0,globe-capital-market-ltd
13,Triveni Glass Ltd.,-,2.57,-,-,-,0,globe-capital-market-ltd
14,Ircon International Ltd.,-,-,1.10,-,-,0,globe-capital-market-ltd
15,JSW Ispat Special Products Ltd.,-,-,1.75,1.72,1.72,26.57,globe-capital-market-ltd
16,SMC Global Securities Ltd.,-,-,5.26,5.21,5.20,41.02,globe-capital-market-ltd
17,Tiger Logistics (India) Ltd.,-,-,2.48,-,-,0,globe-capital-market-ltd
18,Welcure Drugs & Pharmaceuticals Ltd.,-,-,1.61,-,-,0,globe-capital-market-ltd
19,Tata Steel Long Products Ltd.,-,-,-,-,1.13,33.45,globe-capital-market-ltd
1,Edelweiss Financial Services Ltd.,6.43,6.43,6.43,6.72,6.95,431.37,mohnish-pabrai
2,Rain Industries Ltd.,7.86,8.39,8.82,8.82,8.82,481.77,mohnish-pabrai
3,Sunteck Realty Ltd.,6.68,6.68,6.68,6.68,6.68,296.48,mohnish-pabrai
1,Agarwal Industrial Corporation Ltd.,0.69,0.63,-,-,-,0,mukul-agrawal
2,Apollo Pipes Ltd.,3.81,3.81,3.81,3.81,3.81,88.56,mukul-agrawal
3,Arman Financial Services Ltd.,5.06,4.76,4.71,4.71,4.71,58.43,mukul-agrawal
4,Delta Corp Ltd.,1.12,1.20,1.50,1.12,1.12,61.35,mukul-agrawal
5,Dhabriya Polywood Ltd.,10.48,10.48,10.48,10.48,10.48,18.86,mukul-agrawal
6,Dishman Carbogen Amcis Ltd.,3.25,3.25,3.25,3.51,4.27,92.65,mukul-agrawal
7,EKI Energy Services Ltd.,1.89,1.89,1.64,1.64,1.09,13.67,mukul-agrawal
8,Eveready Industries India Ltd.,2.75,-,-,-,-,0,mukul-agrawal
9,GATI Ltd.,5.69,5.69,5.69,5.38,5.38,83.52,mukul-agrawal
10,GM Breweries Ltd.,-,1.41,-,-,-,0,mukul-agrawal
11,Hindware Home Innovation Ltd.,1.38,1.38,2.76,1.38,1.38,38.51,mukul-agrawal
12,Indian Metals & Ferro Alloys Ltd.,1.85,1.44,1.44,1.44,1.44,22.07,mukul-agrawal
13,Indo Count Industries Ltd.,1.14,1.14,1.18,1.17,1.17,31.38,mukul-agrawal
14,Infobeans Technologies Ltd.,5.17,5.15,5.15,5.15,5.15,57.93,mukul-agrawal
15,Intellect Design Arena Ltd.,1.72,1.70,-,1.84,1.84,111.40,mukul-agrawal
16,Ion Exchange (India) Ltd.,1.91,1.91,1.91,1.91,1.91,91.90,mukul-agrawal
17,J Kumar Infraprojects Ltd.,2.78,2.64,2.64,2.64,2.64,54.47,mukul-agrawal
18,JTEKT India Ltd.,1.29,1.29,1.50,1.64,1.64,43.54,mukul-agrawal
19,Kamdhenu Ltd.,3.89,3.89,3.89,-,-,0,mukul-agrawal
20,KDDL Ltd.,3.44,3.32,3.32,3.32,3.38,47.54,mukul-agrawal
21,Kingfa Science & Technology (India) Ltd.,2.48,2.48,2.48,2.48,2.48,49.64,mukul-agrawal
22,LT Foods Ltd.,1.72,1.72,1.72,1.25,1.15,44.21,mukul-agrawal
23,Marksans Pharma Ltd.,1.22,1.22,-,-,-,0,mukul-agrawal
24,Mastek Ltd.,1.04,1.05,-,-,-,0,mukul-agrawal
25,Mitcon Consultancy & Engineering Services Ltd.,5.60,5.60,5.23,5.00,4.39,4.40,mukul-agrawal
26,MPS Ltd.,4.46,4.46,4.46,4.46,4.46,64.79,mukul-agrawal
27,Navkar Corporation Ltd.,-,-,-,-,-,0,mukul-agrawal
28,Neuland Laboratories Ltd.,2.94,2.94,2.94,3.12,3.12,85.63,mukul-agrawal
29,Newgen Software Technologies Ltd.,1.57,1.57,-,1.57,1.43,50.23,mukul-agrawal
30,Parag Milk Foods Ltd.,2.10,2.06,1.83,1.67,-,0,mukul-agrawal
31,Repro India Ltd.,3.05,-,-,-,-,0,mukul-agrawal
32,Sahyadri Industries Ltd.,2.52,2.20,2.20,2.20,2.20,8.75,mukul-agrawal
33,Stylam Industries Ltd.,-,-,-,1.19,-,0,mukul-agrawal
34,TAAL Enterprises Ltd.,8.92,8.92,-,-,8.92,51.30,mukul-agrawal
35,Tasty Bite Eatables Ltd.,1.17,1.17,1.17,1.17,1.17,27.78,mukul-agrawal
36,Vardhman Special Steels Ltd.,1.28,1.23,1.23,1.23,1.23,18.33,mukul-agrawal
37,Allcargo Logistics Ltd.,1.34,-,1.34,1.34,1.34,89.78,mukul-agrawal
38,Goldiam International Ltd.,2.82,2.82,2.75,2.75,2.29,36.96,mukul-agrawal
39,Jet Freight Logistics Ltd.,4.09,4.06,2.47,-,-,0,mukul-agrawal
40,MTAR Technologies Ltd.,1.14,1.14,1.14,-,-,0,mukul-agrawal
41,Paras Defence And Space Technologies Ltd.,2.32,2.32,2.32,1.92,1.12,23.62,mukul-agrawal
42,PDS Ltd.,2.75,2.74,2.74,2.74,2.73,128.26,mukul-agrawal
43,Radico Khaitan Ltd.,1.05,1.05,1.05,1.05,1.05,158.22,mukul-agrawal
44,Thomas Cook (India) Ltd.,1.13,1.06,1.06,1.06,1.06,32.78,mukul-agrawal
45,Vidhi Specialty Food Ingredients Ltd.,1.84,1.84,1.84,1.84,1.84,34.99,mukul-agrawal
46,Zota Health Care Ltd.,2.62,2.62,4.93,5.17,5.24,38.06,mukul-agrawal
47,Pearl Global Industries Ltd.,3.46,3.46,-,3.46,3.46,32.69,mukul-agrawal
48,Karur Vysya Bank Ltd.,1.25,1.25,1.25,1.06,1.06,83.16,mukul-agrawal
49,Onmobile Global Ltd.,1.61,1.23,1.10,-,-,0,mukul-agrawal
50,PE Analytics Ltd.,2.51,2.51,2.51,2.51,2.51,,mukul-agrawal
51,Raymond Ltd.,1.50,1.65,-,1.80,1.80,190.80,mukul-agrawal
52,Sarda Energy & Minerals Ltd.,1.11,1.09,1.14,1.19,1.19,47.06,mukul-agrawal
53,Shankara Building Products Ltd.,2.41,2.41,2.41,2.41,2.41,34.85,mukul-agrawal
54,Thejo Engineering Ltd.,1.69,-,1.68,-,1.68,25.44,mukul-agrawal
55,CL Educate Ltd.,-,1.14,1.17,1.17,1.12,3.33,mukul-agrawal
56,Ethos Ltd.,-,3.96,3.96,3.47,3.42,,mukul-agrawal
57,Jagsonpal Pharmaceuticals Ltd.,-,1.77,1.77,1.77,1.77,15.90,mukul-agrawal
58,Kamdhenu Ventures Ltd.,-,2.14,-,-,Filing Due,,mukul-agrawal
59,Pix Transmissions Ltd.,-,2.72,2.63,2.63,2.63,28.93,mukul-agrawal
60,SIRCA Paints India Ltd.,-,3.10,-,3.10,2.97,49.44,mukul-agrawal
61,Ceat Ltd.,-,-,1.24,1.24,1.24,78.11,mukul-agrawal
62,Dish TV India Ltd.,-,-,1.36,1.63,1.63,46.82,mukul-agrawal
